analysis_accession	study_accession	sample_accession	secondary_sample_accession	tax_id	scientific_name	submitted_ftp	submitted_galaxy
ERZ502668	PRJEB24995	SAMEA4760635	ERS2580725	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/17_N_vs_17_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/ERZ502668.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/17_N_vs_17_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/17_N_vs_17_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/ERZ502668.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502668/17_N_vs_17_T.vcf.gz.tbi
ERZ502669	PRJEB24995	SAMEA4760657	ERS2580726	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/28_N_vs_28_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/ERZ502669.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/28_N_vs_28_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/28_N_vs_28_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/ERZ502669.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502669/28_N_vs_28_T.vcf.gz.tbi
ERZ502670	PRJEB24995	SAMEA4760651	ERS2580762	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/26_N_vs_26_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/ERZ502670.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/26_N_vs_26_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/26_N_vs_26_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/ERZ502670.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502670/26_N_vs_26_T.vcf.gz.tbi
ERZ502671	PRJEB24995	SAMEA4760638	ERS2580727	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/29_N_vs_29_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/29_N_vs_29_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/ERZ502671.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/29_N_vs_29_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/29_N_vs_29_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502671/ERZ502671.md5
ERZ502672	PRJEB24995	SAMEA4760648	ERS2580748	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/41_N_vs_41_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/41_N_vs_41_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/ERZ502672.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/41_N_vs_41_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/41_N_vs_41_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502672/ERZ502672.md5
ERZ502673	PRJEB24995	SAMEA4760652	ERS2580760	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/ERZ502673.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/21_N_vs_21_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/21_N_vs_21_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/ERZ502673.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/21_N_vs_21_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502673/21_N_vs_21_T.vcf.gz.tbi
ERZ502674	PRJEB24995	SAMEA4760673	ERS2580763	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/ERZ502674.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/15_N_vs_15_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/15_N_vs_15_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/ERZ502674.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/15_N_vs_15_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502674/15_N_vs_15_T.vcf.gz
ERZ502675	PRJEB24995	SAMEA4760666	ERS2580736	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/ERZ502675.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/25_N_vs_25_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/25_N_vs_25_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/ERZ502675.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/25_N_vs_25_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502675/25_N_vs_25_T.vcf.gz.tbi
ERZ502676	PRJEB24995	SAMEA4760660	ERS2580739	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/11_N_vs_11_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/ERZ502676.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/11_N_vs_11_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/11_N_vs_11_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/ERZ502676.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502676/11_N_vs_11_T.vcf.gz.tbi
ERZ502677	PRJEB24995	SAMEA4760633	ERS2580755	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/32_N_vs_32_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/32_N_vs_32_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/ERZ502677.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/32_N_vs_32_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/32_N_vs_32_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502677/ERZ502677.md5
ERZ502678	PRJEB24995	SAMEA4760647	ERS2580744	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/ERZ502678.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/36_N_vs_36_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/36_N_vs_36_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/ERZ502678.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/36_N_vs_36_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502678/36_N_vs_36_T.vcf.gz
ERZ502679	PRJEB24995	SAMEA4760641	ERS2580740	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/12_N_vs_12_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/ERZ502679.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/12_N_vs_12_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/12_N_vs_12_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/ERZ502679.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502679/12_N_vs_12_T.vcf.gz
ERZ502680	PRJEB24995	SAMEA4760653	ERS2580751	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/43_N_vs_43_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/43_N_vs_43_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/ERZ502680.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/43_N_vs_43_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/43_N_vs_43_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502680/ERZ502680.md5
ERZ502681	PRJEB24995	SAMEA4760662	ERS2580742	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/ERZ502681.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/23_N_vs_23_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/23_N_vs_23_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/ERZ502681.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/23_N_vs_23_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502681/23_N_vs_23_T.vcf.gz.tbi
ERZ502682	PRJEB24995	SAMEA4760650	ERS2580757	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/ERZ502682.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/1_N_vs_1_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/1_N_vs_1_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/ERZ502682.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/1_N_vs_1_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502682/1_N_vs_1_T.vcf.gz.tbi
ERZ502683	PRJEB24995	SAMEA4760646	ERS2580746	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/14_N_vs_14_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/ERZ502683.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/14_N_vs_14_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/14_N_vs_14_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/ERZ502683.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502683/14_N_vs_14_T.vcf.gz.tbi
ERZ502684	PRJEB24995	SAMEA4760643	ERS2580730	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/24_N_vs_24_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/ERZ502684.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/24_N_vs_24_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/24_N_vs_24_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/ERZ502684.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502684/24_N_vs_24_T.vcf.gz
ERZ502685	PRJEB24995	SAMEA4760670	ERS2580764	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/30_N_vs_30_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/ERZ502685.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/30_N_vs_30_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/30_N_vs_30_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/ERZ502685.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502685/30_N_vs_30_T.vcf.gz.tbi
ERZ502686	PRJEB24995	SAMEA4760669	ERS2580745	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/ERZ502686.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/7_N_vs_7_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/7_N_vs_7_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/ERZ502686.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/7_N_vs_7_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502686/7_N_vs_7_T.vcf.gz
ERZ502687	PRJEB24995	SAMEA4760667	ERS2580735	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/40_N_vs_40_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/ERZ502687.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/40_N_vs_40_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/40_N_vs_40_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/ERZ502687.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502687/40_N_vs_40_T.vcf.gz.tbi
ERZ502688	PRJEB24995	SAMEA4760674	ERS2580761	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/ERZ502688.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/37_N_vs_37_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/37_N_vs_37_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/ERZ502688.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/37_N_vs_37_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502688/37_N_vs_37_T.vcf.gz
ERZ502689	PRJEB24995	SAMEA4760640	ERS2580743	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/4_N_vs_4_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/4_N_vs_4_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/ERZ502689.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/4_N_vs_4_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/4_N_vs_4_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502689/ERZ502689.md5
ERZ502690	PRJEB24995	SAMEA4760631	ERS2580752	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/ERZ502690.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/10_N_vs_10_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/10_N_vs_10_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/ERZ502690.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/10_N_vs_10_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502690/10_N_vs_10_T.vcf.gz
ERZ502691	PRJEB24995	SAMEA4760672	ERS2580758	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/ERZ502691.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/42_N_vs_42_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/42_N_vs_42_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/ERZ502691.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/42_N_vs_42_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502691/42_N_vs_42_T.vcf.gz
ERZ502692	PRJEB24995	SAMEA4760663	ERS2580741	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/13_N_vs_13_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/ERZ502692.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/13_N_vs_13_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/13_N_vs_13_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/ERZ502692.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502692/13_N_vs_13_T.vcf.gz.tbi
ERZ502693	PRJEB24995	SAMEA4760655	ERS2580756	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/16_N_vs_16_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/ERZ502693.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/16_N_vs_16_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/16_N_vs_16_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/ERZ502693.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502693/16_N_vs_16_T.vcf.gz
ERZ502694	PRJEB24995	SAMEA4760636	ERS2580724	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/39_N_vs_39_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/39_N_vs_39_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/ERZ502694.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/39_N_vs_39_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/39_N_vs_39_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502694/ERZ502694.md5
ERZ502695	PRJEB24995	SAMEA4760637	ERS2580729	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/9_N_vs_9_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/ERZ502695.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/9_N_vs_9_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/9_N_vs_9_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/ERZ502695.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502695/9_N_vs_9_T.vcf.gz.tbi
ERZ502696	PRJEB24995	SAMEA4760665	ERS2580731	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/5_N_vs_5_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/5_N_vs_5_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/ERZ502696.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/5_N_vs_5_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/5_N_vs_5_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502696/ERZ502696.md5
ERZ502697	PRJEB24995	SAMEA4760664	ERS2580733	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/ERZ502697.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/35_N_vs_35_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/35_N_vs_35_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/ERZ502697.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/35_N_vs_35_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502697/35_N_vs_35_T.vcf.gz
